Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
Real mukbang:) Young Radish Bibimbap and Beef Brisket Soybean Paste Stew ☆ Korean Comfort foods,2023-07-06T11:00:00Z,6584363,80299,0,997,10.27,https://www.youtube.com/watch?v=0obP9OBnj78
"리얼먹방▶추석 집밥 한상☆양념목살구이, 차돌된장짜글이, 낙지볶음 대창사리, 모둠전ㅣKorean Home FoodㅣMUKBANGㅣ",2022-09-02T11:00:37Z,13287891,124625,0,1671,11.92,https://www.youtube.com/watch?v=tNg1ZrWcvKg
"Real Mukbang :) Korean Home Meal ★ kimchi soup, baked fish, Seasoned cucumber, Salted Seafood",2023-07-31T11:00:20Z,11411653,86971,0,1453,11.87,https://www.youtube.com/watch?v=QLvljOP2bT4
"Real Mukbang:) Korean dumplings (Shrimp, Kimchi, Pork) ☆ Vegetables in Spicy Sauce recipe",2023-11-13T11:00:40Z,6985641,61194,0,1636,11.18,https://www.youtube.com/watch?v=iBNeL042NGc
Real Mukbang:) Homemade BBQ Chicken! ☆ with Acorn jelly in cold broth is better 😲🍗,2023-06-29T11:00:09Z,4194949,45260,0,826,10.62,https://www.youtube.com/watch?v=6Hxhb79jHjI
Real Mukbang:) A delicious way to eat Giant Beef Rib!🍖☆ ft.Korean Kimchi,2024-01-11T11:00:06Z,1536071,28010,0,645,10.93,https://www.youtube.com/watch?v=9KI-fH98VMo
"Real mukbang:)  Chicken and beer🍺 spicy korean sea snail salad,  soupy tteokbokkiㅣ오늘통닭",2023-04-20T11:00:01Z,9278559,78906,0,1523,10.15,https://www.youtube.com/watch?v=aaJeqXyejnw
Real Mukbang:) Korean seasonal seafood food ☆ Making Homemeal in winter,2023-11-27T11:00:37Z,4212117,46616,0,827,13.95,https://www.youtube.com/watch?v=k0B-PI4nVFI
Do you want to join us? #shorts,2023-04-19T11:00:18Z,498111,14602,0,140,0.97,https://www.youtube.com/watch?v=RPg4o-cdK8w
"리얼먹방:) 고추장 닭불고기(?) 만들기★ft.동치미,계란말이ㅣSpicy Chicken BulgogiㅣMUKBANGㅣ",2022-12-13T11:30:06Z,4256645,55377,0,1181,11.62,https://www.youtube.com/watch?v=9UpXmFWiF2A
"Real Mukbang:) Making 10 servings of bibimbap in a earthen pot(?) ☆ Cheonggukjang, red pepper paste",2024-01-01T11:00:43Z,4302022,46114,0,827,11.97,https://www.youtube.com/watch?v=wcgZpSvpn04
"Real Mukbang:) Korean Super Spicy Chicken Stew ""Dak-bokkeum-tang"" ☆ Steamed egg, rice ball",2023-12-25T11:00:24Z,7202027,67492,0,1158,11.85,https://www.youtube.com/watch?v=KCmMTFfhL04
