Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
Musk’s Spacex says it will stop paying for key technology helping Ukraine fight the Russians,2022-10-14T13:13:54Z,512191,5150,0,7556,4.03,https://www.youtube.com/watch?v=B06h09JuYwg
Ex-defense secretary says Trump proposed bombing Mexico,2022-05-06T13:21:50Z,489134,7668,0,5921,11.02,https://www.youtube.com/watch?v=0x_ysxSwiSQ
Jailed Putin critic jokes about solitary confinement,2023-04-26T16:24:00Z,34258,629,0,160,4.2,https://www.youtube.com/watch?v=Wibd0uRbxhc
Pink Floyd's co-founder accuses Biden of 'huge crime' in Ukraine. Hear why,2022-08-08T15:23:57Z,293344,2742,0,5986,4.38,https://www.youtube.com/watch?v=HxZvus1uPQw
See the severe flooding that shut down Yellowstone National Park,2022-06-14T14:18:31Z,332948,2832,0,1035,5.28,https://www.youtube.com/watch?v=D08iQ3Mxr_8
"Casey DeSantis, wife of Florida Gov. Ron DeSantis, takes the spotlight",2022-11-12T02:30:00Z,129161,845,0,1037,3.03,https://www.youtube.com/watch?v=0MiCtr9cgzo
Ex-Trump Cabinet member says 25th amendment possibility was discussed,2022-06-09T23:13:01Z,221843,3122,0,1449,3.73,https://www.youtube.com/watch?v=4AverJs0xUg
County sheriffs are vowing to stop the nonexistent 2020 election steal,2022-08-04T02:20:18Z,655704,8872,0,10695,6.45,https://www.youtube.com/watch?v=xyaDBM0ToXQ
Man kills judge who sent him to prison more than 15 years ago,2022-06-07T03:12:48Z,173049,2481,0,1594,9.97,https://www.youtube.com/watch?v=LkPZ244FfOA
Haberman: This is what struck me about Ivanka Trump's texts,2022-04-26T14:22:14Z,1426691,15257,0,3782,10.5,https://www.youtube.com/watch?v=WM7rYFqbnUw
Maher: Trumpsters and 'woke-sters' not doing this country any great favors,2023-02-28T16:24:04Z,322796,3552,0,2745,7.08,https://www.youtube.com/watch?v=41TiH9Y_k10
'Deeply concerning to scientists': Greenland's ice is rapidly melting in warm weather,2022-07-21T01:22:50Z,380792,4642,0,4067,3.73,https://www.youtube.com/watch?v=cgblPFbLxAE
Expert: China learning a lesson from Russia's invasion of Ukraine,2022-05-27T18:29:02Z,522044,5529,0,2729,8.22,https://www.youtube.com/watch?v=OulFBAS7Ca8
Russia and China are ahead of US in hypersonic missile technology. Here's why,2022-05-31T01:51:57Z,374691,3765,0,2925,3.07,https://www.youtube.com/watch?v=sHa6acUdHLg
Old video shows a submersible caught on Titanic's propeller,2023-06-22T12:58:03Z,467441,3070,0,714,6.92,https://www.youtube.com/watch?v=zk6QyI3tLnw
‘Huge problem’: Retired colonel on Russia hitting Ukraine with 6 hypersonic missiles,2023-03-10T20:26:49Z,671737,7322,0,3319,4.98,https://www.youtube.com/watch?v=rga5iSITzAk
Ukraine receives long-range Storm Shadow cruise missiles from the UK,2023-05-11T18:19:48Z,183076,2420,0,1231,7.08,https://www.youtube.com/watch?v=wZI1kqxR0mE
Hear what CNN reporter noticed about crowd watching Putin's speech,2022-09-30T14:11:50Z,6321243,49064,0,28196,8.2,https://www.youtube.com/watch?v=0H3vdNJ8oio
This home was built for the next pandemic. See its defining features,2022-02-08T19:48:17Z,258057,4812,0,543,3.55,https://www.youtube.com/watch?v=0TetBVK7N3s
Putin issues warning to West as Russia test launches ICBM,2022-04-21T11:32:05Z,540225,5672,0,5522,8.42,https://www.youtube.com/watch?v=_V8s049h184
Journalist shares the moment she got goosebumps during Queen's funeral,2022-09-19T15:29:12Z,84131,588,0,302,9.6,https://www.youtube.com/watch?v=Fjwq8BVlBBU
See Ukrainian troops try out US-supplied .50-caliber machine guns,2022-06-15T13:39:55Z,984395,11166,0,3229,9.22,https://www.youtube.com/watch?v=Xbqbg1vtFlg
'That's not water': Scenes from China's Covid response illustrate brutal heat,2022-07-21T13:50:54Z,153220,1411,0,1140,4.52,https://www.youtube.com/watch?v=EmA4-O4s1wY
The challenges of tracking Russian oligarchs' yachts,2022-03-12T15:58:17Z,418247,3188,0,1565,7.07,https://www.youtube.com/watch?v=G9cW1wV6OLA
How a historic general strike brought Israel to a standstill,2023-03-27T23:41:40Z,148147,1314,0,731,5.98,https://www.youtube.com/watch?v=Fq2LUFR0nsI
