Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
We Need to Talk About This Play,2024-01-10 17:00:14,1127863,66702,0,199,0.23,https://www.youtube.com/watch?v=N9biZQdTvCo
I'm Stuck Stepbro,2023-07-18 17:30:11,147997,6335,0,47,0.23,https://www.youtube.com/watch?v=sL1gdug2TaM
Would you be able to clutch this?,2023-02-24 20:30:01,242251,9854,0,72,0.18,https://www.youtube.com/watch?v=NzSRJH0R7iU
Drum Shotgun is the BEST,2023-06-22 16:30:01,193416,11250,0,234,0.52,https://www.youtube.com/watch?v=5sTNm1Buzlw
This Fortnite HACK works?!,2023-02-17 20:30:00,135235,7996,0,44,0.32,https://www.youtube.com/watch?v=BaF4Y-ti7zo
Season 4 Got Me Raging,2023-09-01 17:00:21,184040,10929,0,154,0.8,https://www.youtube.com/watch?v=L0MqxxIciCI
We Need to Talk About This Aim,2023-12-13 17:00:10,194377,8657,0,78,0.2,https://www.youtube.com/watch?v=ICzWveX1ets
Brutally Ranking Fornite Season 2 Weapons,2024-03-17 19:00:25,224301,9034,0,319,11.42,https://www.youtube.com/watch?v=el75GHw76qg
Fortnite First 2024 Update is INSANE!,2024-01-23 19:00:24,329533,12129,0,324,10.82,https://www.youtube.com/watch?v=uHjURavS6h4
I Got Baited in Fortnite...,2024-02-27 19:00:07,208097,8684,0,321,10.02,https://www.youtube.com/watch?v=9MKyF7AXNxg
Tell me lies,2023-02-12 19:44:35,92170,4510,0,60,0.2,https://www.youtube.com/watch?v=Vxc0g4TV_Yc
Fortnite is BROKEN,2024-01-26 19:30:04,263661,10887,0,393,10.28,https://www.youtube.com/watch?v=xGp5vQKQpHo
No WAY I Hit That !!,2023-03-31 17:30:02,831508,48893,0,241,0.47,https://www.youtube.com/watch?v=OR-TcBR1yMM
LEGO Fortnite Gameplay is HERE,2023-12-07 12:45:00,209569,7685,0,74,0.47,https://www.youtube.com/watch?v=a86aSurJfSo
Giving Away 2 Tickets To A Lions Game | Fan Reaction #NFLPartner #NFLCreatorOfTheWeek,2024-01-16 22:15:01,304113,13438,0,202,0.42,https://www.youtube.com/watch?v=8JMkxnYxG1E
Season 5 Gameplay?!,2023-10-19 16:30:08,775317,44045,0,196,0.53,https://www.youtube.com/watch?v=oyEqVsVBi7Q
Zero Builds Only Problem...,2024-03-27 19:00:00,311023,12567,0,1478,10.03,https://www.youtube.com/watch?v=0IxWPrRx7lk
This Could End Chapter 4.,2023-01-14 19:00:15,254070,9245,0,402,11.43,https://www.youtube.com/watch?v=bT3mWGwrZPY
Why Fortnite Season 2 is the BEST!,2023-03-10 16:43:02,460657,16524,0,646,10.37,https://www.youtube.com/watch?v=HTDU74bzy5A
First BOSS Fight in LEGO Fortnite,2023-12-07 14:15:05,204105,8969,0,95,0.43,https://www.youtube.com/watch?v=lEQtISpT0HU
My Wife Caught Me in 4K,2023-08-05 16:00:42,4652489,319617,0,1854,0.48,https://www.youtube.com/watch?v=yzfqC8LAiI0
MY FIRST RANK REVEAL,2023-05-18 19:31:37,423382,28182,0,231,0.33,https://www.youtube.com/watch?v=OI3Qvu1N7vg
This Dragon Ball X Fortnite Update is INSANE!,2022-08-16 18:49:07,889134,37969,0,1661,10.18,https://www.youtube.com/watch?v=tXTc295q4_o
Fortnite Chapter 5 is INSANE !,2023-12-03 19:00:20,1065149,36013,0,1659,10.33,https://www.youtube.com/watch?v=bDD9bQy04B8
My Highest Elimination Solo *EVER* | Fortnite No Build,2022-04-18 16:37:41,528841,19976,0,708,11.33,https://www.youtube.com/watch?v=rDJk-qgzHYA
How to Aim in Chapter 4 #Shorts,2023-01-19 20:00:19,126957,8305,0,72,0.37,https://www.youtube.com/watch?v=bP0DRXGAdiI
*INSANE* Tilted Towers Solo Game | Fortnite,2022-01-30 18:43:26,1541620,54426,0,1731,12.75,https://www.youtube.com/watch?v=9toN64EudMI
LEGO Fortnite is AMAZING!,2023-12-07 19:00:19,721957,19644,0,781,12.4,https://www.youtube.com/watch?v=lzd6zmTRhqs
Fortnite Broken Meta is BACK,2023-04-28 17:00:12,246065,8530,0,229,10.07,https://www.youtube.com/watch?v=DpGhAAOqrYY
NEW Fortnite Update is INSANE.,2024-02-09 18:00:07,291250,10564,0,221,10.05,https://www.youtube.com/watch?v=5PVlRv2aefc
We have a Problem...,2022-07-17 17:00:20,438393,19258,0,807,10.08,https://www.youtube.com/watch?v=dwkA_nXkOD4
So this happened...,2022-08-14 16:00:12,202474,10104,0,329,8.82,https://www.youtube.com/watch?v=SvdCFn-cysY
Please Don't Tell My Wife 🤐 - Part 2,2023-05-10 19:00:18,177892,11253,0,122,0.27,https://www.youtube.com/watch?v=mgDOaI-ILrQ
REACTING To CourageJD Trolling Me In Fortnite with MY OWN Soundboard,2022-01-29 18:43:24,776854,28749,0,614,16.07,https://www.youtube.com/watch?v=9K8vj6GDY3Y
My Final Moments...,2022-09-10 19:00:05,429344,21633,0,704,10.57,https://www.youtube.com/watch?v=HqwF5EHedBc
Fortnite Season 3 BIG Secret,2023-06-16 16:30:17,134378,5992,0,232,10.18,https://www.youtube.com/watch?v=s-H-SIR4NnY
*INSANE* High Kill Elimination Fortnite Game,2022-04-29 16:59:08,309235,12729,0,498,12.7,https://www.youtube.com/watch?v=zj8n8u4og74
No way he's back...,2022-08-12 17:00:16,280596,11461,0,340,10.75,https://www.youtube.com/watch?v=Rq4HkX9i6HY
You WON'T Believe Who Came BACK!,2022-03-25 15:17:38,254031,10695,0,425,11.95,https://www.youtube.com/watch?v=W09XvEglNIg
This Won't Stop Me.,2023-04-19 17:30:01,208804,8432,0,328,13.17,https://www.youtube.com/watch?v=9gA28zKVE_Q
SEASON 4 Pump Shotgun Will Break Fortnite..,2023-08-27 17:00:27,391402,15410,0,677,10.05,https://www.youtube.com/watch?v=qZFGFHGR-wQ
Epic Finally Listened!,2022-11-29 19:39:45,365631,12790,0,552,10.03,https://www.youtube.com/watch?v=BRhHC6FE-Lg
Fortnite Season 2 is Finally HERE!,2024-03-09 08:13:50,317597,12074,0,490,10.28,https://www.youtube.com/watch?v=6a4FA4kUNmQ
Snipers Are Weak Bro...,2023-03-16 18:00:00,178416,8941,0,138,0.23,https://www.youtube.com/watch?v=1oLO6md9Eq4
This Chapter 4 Perk is OP,2022-12-09 18:53:39,459788,15321,0,439,11.6,https://www.youtube.com/watch?v=Ed1HftPjvg0
The FASTEST Win In Fortnite History...,2022-01-19 22:40:02,2049485,56123,0,1275,11.5,https://www.youtube.com/watch?v=01X5g97ohZA
It's Time...,2023-03-05 18:00:14,390353,16623,0,656,10.45,https://www.youtube.com/watch?v=HgC8cmclkUE
Fortnite Needs to FIX This,2023-05-06 19:00:19,297450,9743,0,401,10.88,https://www.youtube.com/watch?v=oZAPOBWRvzI
I know how to Smash in Fortnite,2023-01-18 16:22:37,226824,14026,0,143,0.22,https://www.youtube.com/watch?v=wMJJDm0tYKY
Hard Carrying In Squads...,2022-04-02 17:06:50,312723,9754,0,380,20.27,https://www.youtube.com/watch?v=c9jvodh0MFQ
Ninja REACTS To The *NEW* Fortnite Update,2022-05-10 18:34:03,400280,19592,0,625,11.33,https://www.youtube.com/watch?v=V3rkm73JUiY
I Hit Fortnite's Highest Rank in 3 Hours !,2023-05-23 17:00:10,521021,15990,0,440,10.38,https://www.youtube.com/watch?v=KQJNCaDWw0M
this fortnite bug HAUNTS me,2023-02-02 22:00:30,160280,11168,0,60,0.37,https://www.youtube.com/watch?v=h_seLlgLmIs
This Should Be BANNED...,2022-11-19 18:00:20,221285,10870,0,437,10.55,https://www.youtube.com/watch?v=oPY07P15EqI
This Weapon Needs to Be Vaulted...,2023-10-12 19:00:20,261814,10142,0,420,10.08,https://www.youtube.com/watch?v=j_9yXrxLaPQ
I know how to Smash in Fortnite,2023-01-18 16:22:37,226824,14026,0,143,0.22,https://www.youtube.com/watch?v=wMJJDm0tYKY
Hard Carrying In Squads...,2022-04-02 17:06:50,312723,9754,0,380,20.27,https://www.youtube.com/watch?v=c9jvodh0MFQ
Ninja REACTS To The *NEW* Fortnite Update,2022-05-10 18:34:03,400280,19592,0,625,11.33,https://www.youtube.com/watch?v=V3rkm73JUiY
I Hit Fortnite's Highest Rank in 3 Hours !,2023-05-23 17:00:10,521021,15990,0,440,10.38,https://www.youtube.com/watch?v=KQJNCaDWw0M
this fortnite bug HAUNTS me,2023-02-02 22:00:30,160280,11168,0,60,0.37,https://www.youtube.com/watch?v=h_seLlgLmIs
This Should Be BANNED...,2022-11-19 18:00:20,221285,10870,0,437,10.55,https://www.youtube.com/watch?v=oPY07P15EqI
How could Epic let this happen...,2022-10-24 19:00:14,256426,12911,0,408,10.07,https://www.youtube.com/watch?v=R232DVu4qy0
Ninja Reacts To The *NEW* Insane Fortnite Update,2022-05-17 19:57:23,323183,11938,0,390,11.93,https://www.youtube.com/watch?v=SVkA0x8-0Wc
500IQ Plays *INSANE* Final Circle Game,2022-03-07 19:14:10,263837,11211,0,334,11.27,https://www.youtube.com/watch?v=72qWA4mgf3I
Ninja REACTS to *NEW* Fortnite Season 3 UPDATE | New Items + New POI,2022-06-28 18:08:59,231719,10214,0,381,8.93,https://www.youtube.com/watch?v=cIrS2tWMEag
Top 10 Anime fights in Season 2!!!,2023-03-10 13:44:14,309364,13831,0,81,0.4,https://www.youtube.com/watch?v=XLNh4bPnhwE
LEGO Fortnite Ruined Our Friendship,2023-12-09 18:00:23,245326,13596,0,135,1.0,https://www.youtube.com/watch?v=yF9JuNXGDaA
Fortnite Season 5 Gameplay is Here.,2023-11-01 18:00:27,1147110,42467,0,975,11.3,https://www.youtube.com/watch?v=bpfQDnb4Chg
is the Flint Knock BACK? - Live,2023-03-29 15:19:12,145187,4490,0,53,148.32,https://www.youtube.com/watch?v=VlcvXjLesgo
I'm Back to Builds Mode in Ranked,2023-05-31 18:21:23,405577,13844,0,780,10.2,https://www.youtube.com/watch?v=nTZck4NccPU
Playing Fortnite on EXTREME Mode..,2022-10-01 17:30:04,373548,15621,0,560,12.9,https://www.youtube.com/watch?v=jsfDp9AomRE
This Fortnite Item Is TOO Powerful.,2023-12-17 18:00:18,297182,12179,0,295,10.13,https://www.youtube.com/watch?v=gVQvb31LxEc
Fortnite is Better Than Warzone.,2024-02-11 19:00:10,229513,11274,0,584,10.43,https://www.youtube.com/watch?v=Hf1gis41xNc
Fortnite Adds NEW Weapons,2023-06-27 19:30:02,267418,10290,0,278,10.05,https://www.youtube.com/watch?v=WNc4oV9gLTU
The Snow Launcher Is INSANE! Ft. SypherPK & CourageJD,2022-01-07 17:34:55,191771,8518,0,264,10.88,https://www.youtube.com/watch?v=CJTgfS5dMfE
"Dear Epic, it's time...",2022-11-10 18:00:18,223431,10519,0,491,11.32,https://www.youtube.com/watch?v=h-scIaNJxGA
What Happened to Fortnite...,2022-10-10 19:30:00,316513,14713,0,648,11.65,https://www.youtube.com/watch?v=0MQwH-IuNWQ
Fornite NEW Augments Update is here - Live,2023-06-27 19:16:49,164159,5562,0,48,321.67,https://www.youtube.com/watch?v=_VGT-Y7FNHM
Epic Just Fixed Season 3 !,2023-06-25 19:00:15,174358,8130,0,316,10.58,https://www.youtube.com/watch?v=klD9AOGu6L8
